{'id': 0, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 39.182838439941406}
{'id': 1, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 36.37736892700195}
{'id': 2, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 34.59880065917969}
{'id': 3, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 35.237091064453125}
{'id': 4, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 34.33768081665039}
{'id': 5, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 35.89269256591797}
{'id': 6, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.66912841796875}
{'id': 7, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 38.02922058105469}
{'id': 8, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 37.998470306396484}
{'id': 9, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 37.46868896484375}
{'id': 10, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 36.5931282043457}
{'id': 11, 'x': [0.677299976348877, 0.677299976348877, 0.2874000072479248], 'power': 34.612125396728516}
{'id': 12, 'x': [0.1662999987602234, 0.9433000087738037, 0.2874000072479248], 'power': 37.40227127075195}
{'id': 13, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 34.56913757324219}
{'id': 14, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 35.6943359375}
{'id': 15, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 37.85755157470703}
{'id': 16, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 37.850975036621094}
{'id': 17, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 35.2498779296875}
{'id': 18, 'x': [0.24789999425411224, 0.9251999855041504, 0.2874000072479248], 'power': 35.35443115234375}
{'id': 19, 'x': [0.784600019454956, -0.5493999719619751, 0.2874000072479248], 'power': 35.019126892089844}
{'id': 20, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 35.48818588256836}
{'id': 21, 'x': [0.677299976348877, 0.677299976348877, 0.2874000072479248], 'power': 34.00033187866211}
{'id': 22, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 36.10820007324219}
{'id': 23, 'x': [0.9433000087738037, -0.1662999987602234, 0.2874000072479248], 'power': 35.01093292236328}
{'id': 24, 'x': [0.677299976348877, -0.677299976348877, 0.2874000072479248], 'power': 36.06113052368164}
{'id': 25, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.067138671875}
{'id': 26, 'x': [0.8680999875068665, -0.4047999978065491, 0.2874000072479248], 'power': 38.06065368652344}
{'id': 27, 'x': [0.32760000228881836, 0.9000999927520752, 0.2874000072479248], 'power': 36.1961784362793}
{'id': 28, 'x': [0.9251999855041504, -0.24789999425411224, 0.2874000072479248], 'power': 34.95247268676758}
{'id': 29, 'x': [0.8295000195503235, -0.4788999855518341, 0.2874000072479248], 'power': 34.08971405029297}
{'id': 30, 'x': [0.954200029373169, -0.08349999785423279, 0.2874000072479248], 'power': 36.949066162109375}
{'id': 31, 'x': [0.08349999785423279, 0.954200029373169, 0.2874000072479248], 'power': 35.797306060791016}
{'id': 32, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 37.21715545654297}
{'id': 33, 'x': [0.9000999927520752, -0.32760000228881836, 0.2874000072479248], 'power': 35.55754470825195}
{'id': 34, 'x': [0.7336999773979187, -0.6157000064849854, 0.2874000072479248], 'power': 35.7049674987793}
{'id': 35, 'x': [0.677299976348877, -0.677299976348877, 0.2874000072479248], 'power': 34.685829162597656}
